parameter,min,max,step,bins_n
ALBEDO,0.24,0.47,0.01,23
AVG_ILLUM,0,0.83,0.01,83
DICE,0,0.2,0.01,20
EM_ANG,0,90,0.5,180
GRAVITY,-582,726,1,1308
HPAR,0,1,0.01,100
HYDROGEN,38,114,1,76
INC_ANG,0,90,0.5,180
LR_LAT,-90,90,0.25,720
LR_LON,-180,180,0.25,1440
PHASE_ANG,0,180,0.5,360
ROCK_ABUNDANCE,0,0.76,0.01,76
ROUGHNESS,0,8.7,0.1,87
SP_MINERALOGY_feo,5,11,0.1,60
SP_MINERALOGY_high_calcium_pyroxene,0,0.21,0.01,21
SP_MINERALOGY_low_calcium_pyroxene,0,0.39,0.01,39
SP_MINERALOGY_nanophase_iron,0.4,10,0.1,96
SP_MINERALOGY_olivine,0,0.3,0.01,30
SP_MINERALOGY_omat,0.38,0.67,0.01,30
SP_MINERALOGY_plagioclase,0.59,0.89,0.01,31
SS_GROUND_AZIMUTH,0,360,0.25,1440
SS_LAT,-90,90,0.25,720
SS_LON,-180,180,0.25,1440
SW_FE_mpfe,0,1.83,0.01,183
SW_FE_npfe,0,1.56,0.01,156
SW_FE_smfe,0.02,3.27,0.01,325
TBOL_POLES_closest,23,324,1,301
TBOL_POLES_sub_solar_lon_0_summer,30,318,1,288
TBOL_POLES_sub_solar_lon_0_winter,22,318,1,296
TBOL_POLES_sub_solar_lon_105_summer,28,320,1,292
TBOL_POLES_sub_solar_lon_105_winter,20,309,1,289
TBOL_POLES_sub_solar_lon_120_summer,23,319,1,296
TBOL_POLES_sub_solar_lon_120_winter,24,315,1,291
TBOL_POLES_sub_solar_lon_135_summer,23,320,1,297
TBOL_POLES_sub_solar_lon_135_winter,22,312,1,290
TBOL_POLES_sub_solar_lon_150_summer,20,320,1,300
TBOL_POLES_sub_solar_lon_150_winter,15,310,1,295
TBOL_POLES_sub_solar_lon_15_summer,26,322,1,296
TBOL_POLES_sub_solar_lon_15_winter,22,318,1,296
TBOL_POLES_sub_solar_lon_165_summer,18,320,1,302
TBOL_POLES_sub_solar_lon_165_winter,17,312,1,295
TBOL_POLES_sub_solar_lon_180_summer,19,319,1,300
TBOL_POLES_sub_solar_lon_180_winter,19,315,1,296
TBOL_POLES_sub_solar_lon_195_summer,19,318,1,299
TBOL_POLES_sub_solar_lon_195_winter,18,310,1,292
TBOL_POLES_sub_solar_lon_210_summer,23,314,1,291
TBOL_POLES_sub_solar_lon_210_winter,16,312,1,296
TBOL_POLES_sub_solar_lon_225_summer,17,313,1,296
TBOL_POLES_sub_solar_lon_225_winter,21,306,1,285
TBOL_POLES_sub_solar_lon_240_summer,22,311,1,289
TBOL_POLES_sub_solar_lon_240_winter,20,300,1,280
TBOL_POLES_sub_solar_lon_255_summer,15,308,1,293
TBOL_POLES_sub_solar_lon_255_winter,20,305,1,285
TBOL_POLES_sub_solar_lon_270_summer,28,313,1,285
TBOL_POLES_sub_solar_lon_270_winter,15,309,1,294
TBOL_POLES_sub_solar_lon_285_summer,27,318,1,291
TBOL_POLES_sub_solar_lon_285_winter,13,314,1,301
TBOL_POLES_sub_solar_lon_300_summer,31,319,1,288
TBOL_POLES_sub_solar_lon_300_winter,16,315,1,299
TBOL_POLES_sub_solar_lon_30_summer,29,321,1,292
TBOL_POLES_sub_solar_lon_30_winter,24,319,1,295
TBOL_POLES_sub_solar_lon_315_summer,30,322,1,292
TBOL_POLES_sub_solar_lon_315_winter,12,318,1,306
TBOL_POLES_sub_solar_lon_330_summer,28,321,1,293
TBOL_POLES_sub_solar_lon_330_winter,16,317,1,301
TBOL_POLES_sub_solar_lon_345_summer,29,319,1,290
TBOL_POLES_sub_solar_lon_345_winter,19,315,1,296
TBOL_POLES_sub_solar_lon_45_summer,30,324,1,294
TBOL_POLES_sub_solar_lon_45_winter,25,320,1,295
TBOL_POLES_sub_solar_lon_60_summer,28,323,1,295
TBOL_POLES_sub_solar_lon_60_winter,25,318,1,293
TBOL_POLES_sub_solar_lon_75_summer,28,322,1,294
TBOL_POLES_sub_solar_lon_75_winter,24,316,1,292
TBOL_POLES_sub_solar_lon_90_summer,27,319,1,292
TBOL_POLES_sub_solar_lon_90_winter,22,313,1,291
TBOL_closest,40,396,1,356
TBOL_sub_solar_lon_0,46,395,1,349
TBOL_sub_solar_lon_105,37,393,1,356
TBOL_sub_solar_lon_120,38,392,1,354
TBOL_sub_solar_lon_135,39,393,1,354
TBOL_sub_solar_lon_15,38,396,1,358
TBOL_sub_solar_lon_150,41,392,1,351
TBOL_sub_solar_lon_165,41,396,1,355
TBOL_sub_solar_lon_180,40,392,1,352
TBOL_sub_solar_lon_195,40,392,1,352
TBOL_sub_solar_lon_210,41,394,1,353
TBOL_sub_solar_lon_225,41,392,1,351
TBOL_sub_solar_lon_240,39,394,1,355
